Min	W5 - 55 ppt Control_4	W5 - 55 ppt Control_13	W5 - 55 ppt Control_7	W5 - 55 ppt Control_11	W5 - 55 ppt Control_6	W5 - 55 ppt Control_8	W5 - 55 ppt Control_5	W5 - 55 ppt Control_12	W5 - 55 ppt Control_2	W5 - 55 ppt Control_1	W5 - 55 ppt Control_9
120	0.08073096691869619	0.08014613100804835	0.08056595202345493	0.08021726665342324	0.08037024053250116	0.08069921220292349	0.08097420335229155	0.07999361357517212	0.0807869881163192	0.08098042223514967	0.07979687242874973
130	0.08097114425308745	0.07996773666533775	0.08057055458793443	0.08018267195961112	0.0801116287138653	0.08069921220292349	0.08119460609086494	0.08095716576548985	0.08058957019514128	0.08072700444223073	0.07979687242874973
140	0.08050443173206617	0.08033734360149955	0.08063563209022151	0.08000487753257728	0.08061765571291282	0.08069921220292349	0.08135532309140082	0.08108274033203702	0.08084166075522191	0.08063496565432075	0.07979687242874973
150	0.08058473443374208	0.07982530994564749	0.08063453875392372	0.07992674002988315	0.0809502937385649	0.08069921220292349	0.08129397085503573	0.08035700098004075	0.08050756011619264	0.08081318693447188	0.07979687242874973
160	0.08057736157780762	0.08044375381378092	0.08049801455583135	0.08002640927489807	0.08059117755118297	0.08069921220292349	0.0808015736704985	0.08041937271808285	0.08070446151334802	0.08065352404196952	0.07979687242874973
170	0.08086000428321573	0.0802549554366226	0.08069572798571036	0.08051136130229873	0.08013395072119396	0.08069921220292349	0.08085820240489668	0.08020267891086888	0.08104781254760188	0.08054737870948153	0.07979687242874973
180	0.08091377489243934	0.07968657052263929	0.08078556753120415	0.08007686246317867	0.07955631502897609	0.08069921220292349	0.08097137042503785	0.08054098685562405	0.0804948447481119	0.08052876661562616	0.07979687242874973
190	0.08075194769785354	0.08012135582286041	0.08100397934963338	0.0806988240045465	0.08006978495146244	0.08069921220292349	0.08110744933173188	0.08060928045422497	0.080668665102006	0.08053957056230306	0.07979687242874973
200	0.08092145997705942	0.08025113035642077	0.08106811867336983	0.08036616931991929	0.07963865444586293	0.08069921220292349	0.08106358740754027	0.08034802930830001	0.08115573343280896	0.08043930447793086	0.07979687242874973
210	0.08083295673597106	0.07990124754907743	0.08099370068485053	0.0800221112904587	0.07960249355353101	0.08069921220292349	0.08144228700933144	0.08020807922713631	0.08067804657374684	0.08033786099561685	0.07979687242874973
220	0.08099948267809517	0.08026566907987831	0.08139538705956781	0.07986471047393243	0.07963469365404176	0.08069921220292349	0.08114801511158341	0.08029332923020187	0.0807950482119866	0.08050758508505053	0.07979687242874973
230	0.08085249345972921	0.08021219757500515	0.08128991294030283	0.08013723162642873	0.08029105635934032	0.08069921220292349	0.08140600041743025	0.0799826388274271	0.08081957509241297	0.08055234850373508	0.07979687242874973
240	0.08110238516701791	0.0804056649222239	0.08128250474689812	0.08013789496448741	0.08004988581751361	0.08069921220292349	0.08138921352469061	0.08005795108733256	0.08137937960515763	0.08093107678772782	0.07979687242874973
