Min	W3 - Replicate 1_8	W3 - Replicate 1_14	W3 - Replicate 1_5	W3 - Replicate 1_4	W3 - Replicate 1_15	W3 - Replicate 1_12	W3 - Replicate 1_11	W3 - Replicate 1_7	W3 - Replicate 1_6	W3 - Replicate 1_3	W3 - Replicate 1_2	W3 - Replicate 1_9	W3 - Replicate 1_13	W3 - Replicate 1_1
100	0.08016039434686888	0.08349264082788788	0.08000603089411798	0.08189959644083838	0.08186983268778632	0.08415066571162229	0.07974495006532893	0.07923150440660805	0.08202106041806428	0.08147810884295201	0.08206342116795211	0.08001718575305602	0.0835394245722189	0.08058552200048921
110	0.08008424336313075	0.08333014874818413	0.08009133870442399	0.08168827278812084	0.0817901985010065	0.08431898342609474	0.07939494581590095	0.07930882201169177	0.0814537247109659	0.08167832559788173	0.08187036780152838	0.07994691652259439	0.08361148868821035	0.08064814218840383
120	0.08009257798114083	0.0832496467545947	0.08029033582886222	0.0815636018792733	0.08239109934727648	0.08343507958859885	0.07959148887268837	0.07950407399832897	0.08105825802520362	0.08164908189779888	0.08164978421097387	0.08035593999082828	0.08428821549488219	0.08055984221343701
130	0.08034255973021516	0.08347713530303359	0.08050453863860313	0.08176280672792391	0.0821638718897786	0.08403560489969152	0.07943350828952606	0.08018018785554738	0.0810017966449481	0.08207110421706088	0.08166869309546716	0.08035593999082828	0.08398749058579448	0.08059375232930863
140	0.08015878020192284	0.083868085193772	0.08068106075493647	0.0817480278333999	0.0833854863700686	0.08432688834365104	0.07934893442008274	0.08018018785554738	0.08128497512662357	0.08177379347334353	0.08158457589120499	0.08035593999082828	0.08329212531601068	0.08040832645175468
150	0.07997396623117455	0.08377501328878913	0.08070002584023195	0.08162450731994167	0.08258947808006062	0.08410770563668236	0.07938784200540323	0.08018018785554738	0.08110030858352091	0.08177188422824809	0.08158598844964028	0.08035593999082828	0.08307276165134987	0.0805240752778962
160	0.0801217668399982	0.08292994673052838	0.08058329700233016	0.0816280015379422	0.08267036242973155	0.08394894597244343	0.07939126893557116	0.08018018785554738	0.08131628006159913	0.08179030384825989	0.08167338825240884	0.08035593999082828	0.08385108419332736	0.08068991788706678
170	0.08007281126300278	0.08353055979944762	0.08034790395884878	0.08127420821294905	0.08239656183708022	0.08389711470100535	0.07923963161089458	0.08018018785554738	0.08138605488633688	0.08172729544652485	0.0814896592929974	0.08035593999082828	0.08391363797500553	0.08062734975209573
180	0.08021725870623884	0.08347654914260776	0.08086758216007718	0.08106646820342746	0.08240389131678606	0.08432913093009164	0.07919702738220995	0.08018018785554738	0.08124116896880779	0.08137908099293714	0.08182621462615283	0.08035593999082828	0.08451880969924859	0.08073322011921405
190	0.08039468640415148	0.08326201996417497	0.08131355549652414	0.08113098099133526	0.08274347770595979	0.08466264947492054	0.0793275442732157	0.08018018785554738	0.08160400541917869	0.0817481464415661	0.08174702644159784	0.08035593999082828	0.0838802842776504	0.08060347174948886
200	0.08023732984701466	0.08357180239889724	0.08083794339675257	0.08106538602566012	0.08347130183651093	0.08404189144211643	0.07952086098578892	0.08018018785554738	0.08152304636631666	0.08190027385304816	0.08173358534702489	0.08035593999082828	0.0838134818059498	0.08048851650517663
210	0.08036513904534495	0.08394531239709087	0.08089385429817436	0.08097468567545438	0.08286178656151741	0.0844916983701489	0.07935693214145692	0.08018018785554738	0.08133769914885675	0.0819515741869039	0.08192861135847014	0.08035593999082828	0.08458239236483615	0.08057931422139854
220	0.08026093127236886	0.08349236181304609	0.08068820535050367	0.08144004565920634	0.08344945286824648	0.08438902129918996	0.0796966154310063	0.08018018785554738	0.08133525998134108	0.08187276501803856	0.0819264900281153	0.08035593999082828	0.08448446258370554	0.08067967718286638
230	0.08050218729408273	0.08382264188147831	0.08083252491470307	0.0813152110948065	0.0829379703112917	0.08377182240393875	0.07942228967182038	0.08018018785554738	0.08121721277450916	0.08204536826938234	0.08218718446006348	0.08035593999082828	0.08536988280024518	0.08077571860683397
240	0.08040354940809429	0.08395727311631826	0.08068586267963061	0.0810775037904871	0.08273849719839133	0.08451677620433971	0.07951259478407162	0.08018018785554738	0.08173247659129967	0.08200744584291993	0.08180518325708286	0.08035593999082828	0.08426588294835267	0.0807053899891666
250	0.0802796407928687	0.08446444052871536	0.0808385628595256	0.0811947866185031	0.08336870002576631	0.08397087407279426	0.08003384359988165	0.08018018785554738	0.0815995874726916	0.08224906375320457	0.08188152797262094	0.08035593999082828	0.08392282811628224	0.08074856231579616
260	0.0801235681807618	0.08360055795287871	0.08072086112522914	0.0817855627788338	0.08325969928211935	0.08515325870412808	0.0795369200554126	0.08018018785554738	0.08168713766373306	0.0821125138169267	0.08202087844312579	0.08035593999082828	0.08459226417447926	0.0809289621298937
270	0.08032954539730008	0.08386154236101356	0.08065936767948721	0.08156662218802874	0.0846202794790473	0.08538324015244955	0.07912411784513101	0.08018018785554738	0.08127828039198365	0.0822792740946217	0.0818046716832806	0.08035593999082828	0.0848815862950342	0.0808259049230234
280	0.08030531014431912	0.08315155606574458	0.08069123163719667	0.08141889123403807	0.08312100510692975	0.08508837399861191	0.07935215983799639	0.08018018785554738	0.08125475137775248	0.08205821794664685	0.08186622332567525	0.08035593999082828	0.0847297051615849	0.08050929684886016
290	0.08013907353547008	0.08390508238882863	0.08061015383864992	0.08119567459545385	0.08317785057662808	0.08588523228393095	0.07901039736756026	0.08018018785554738	0.08140459830173319	0.0820219303266994	0.08152662089244647	0.08035593999082828	0.08400343332817932	0.08053510321651025
300	0.08019229998859106	0.08418907675849949	0.08046952207509867	0.08126324268748962	0.0833618688726524	0.08508411278709808	0.07922084210861997	0.08018018785554738	0.08149842367508457	0.082031397956507	0.0815565304784629	0.08035593999082828	0.08449420165156474	0.0808869741934449
310	0.08021977244538436	0.08378556679038793	0.0804785025615031	0.08107729788787807	0.08294930855164055	0.08469263776406047	0.07920656933126266	0.08018018785554738	0.0812837530411153	0.0821225019595056	0.0816782043849723	0.08035593999082828	0.08456810538986208	0.08097421547771948
320	0.080254640027837	0.0839692561855588	0.08046749116822148	0.08110486411811232	0.08323533963588764	0.08489136023828794	0.07955358689911242	0.08018018785554738	0.08150958300584846	0.0822881310529077	0.08183500077495824	0.08035593999082828	0.08434441227786076	0.08102161203320794
330	0.08036311697550239	0.0837718660655002	0.08061594424524446	0.08144241148180201	0.08321283392147158	0.08494870973212203	0.0795905207758066	0.08018018785554738	0.08121805741594339	0.08215101549337246	0.08193841284555671	0.08035593999082828	0.08423026929892258	0.08120419971733757
