timestamp_localtime,experiment,pioreactor_unit,timestamp,message,source,level,task
5/23/24 11:45,Switching Media Salinity,worker3,2024-05-23T18:45:55.015563Z,"Initialized GPIO-13 using hardware-timing, initial frequency = 200.0 hz.",app,DEBUG,add_media
5/23/24 11:45,Switching Media Salinity,worker3,2024-05-23T18:45:55.029464Z,Calibration not defined. Run media pump calibration first.,app,ERROR,add_media
5/23/24 11:45,Switching Media Salinity,worker3,2024-05-23T18:45:55.080769Z,Cleaned up GPIO-13.,app,DEBUG,add_media
5/23/24 11:46,Switching Media Salinity,worker3,2024-05-23T18:46:00.659900Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,remove_waste
5/23/24 11:46,Switching Media Salinity,worker1,2024-05-23T18:46:00.668591Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,remove_waste
5/23/24 11:46,Switching Media Salinity,worker2,2024-05-23T18:46:00.671747Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,remove_waste
5/23/24 11:46,Switching Media Salinity,worker3,2024-05-23T18:46:00.675156Z,Running waste pump continuously.,app,INFO,remove_waste
5/23/24 11:46,Switching Media Salinity,worker1,2024-05-23T18:46:00.682511Z,Running waste pump continuously.,app,INFO,remove_waste
5/23/24 11:46,Switching Media Salinity,worker2,2024-05-23T18:46:00.685779Z,Running waste pump continuously.,app,INFO,remove_waste
5/23/24 11:46,Switching Media Salinity,leader1,2024-05-23T18:46:00.700798Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,remove_waste
5/23/24 11:46,Switching Media Salinity,leader1,2024-05-23T18:46:00.715578Z,Running waste pump continuously.,app,INFO,remove_waste
5/23/24 11:51,Switching Media Salinity,leader1,2024-05-23T18:51:48.056525Z,Starting pump calibration.,app,INFO,pump_calibration
5/23/24 11:51,Switching Media Salinity,leader1,2024-05-23T18:51:58.463048Z,Starting pump calibration.,app,INFO,pump_calibration
5/23/24 11:52,Switching Media Salinity,leader1,2024-05-23T18:52:07.243692Z,Starting pump calibration.,app,INFO,pump_calibration
5/23/24 11:52,Switching Media Salinity,leader1,2024-05-23T18:52:15.876450Z,Starting pump calibration.,app,INFO,pump_calibration
5/23/24 11:52,Switching Media Salinity,worker3,2024-05-23T18:52:20.696081Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for worker3.",app,ERROR,remove_waste
5/23/24 11:52,Switching Media Salinity,worker2,2024-05-23T18:52:20.710499Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for worker2.",app,ERROR,remove_waste
5/23/24 11:52,Switching Media Salinity,worker1,2024-05-23T18:52:20.716272Z,"GPIO-12 is currently locked but a task is overwriting it. Either too many jobs are trying to access this pin, or a job didn't clean up properly. If your confident you can release it, use `pio clear-cache pwm_locks 12 --as-int` on the command line for worker1.",app,ERROR,remove_waste
